K,cost_regime,h2_minus_m4_mean,h2_minus_m4_ci_low,h2_minus_m4_ci_high,h2_minus_m4_d,m5_minus_h2_mean,m5_minus_h2_ci_low,m5_minus_h2_ci_high,m5_minus_h2_d
1,failure-heavy-no-waste,0.6,0.3,0.9,0.881630720467888,6.3,4.21,8.67,1.732774757781291
1,failure-heavy-waste-aware,0.8363999999999981,0.5674974999999984,1.1474999999999977,1.1984345639066107,4.976560000000001,2.656273500000001,7.551178999999999,1.013538063127961
1,failure-light-no-waste,0.45,-0.1,0.9,0.39269379525740833,3.3,2.28,4.39,1.7657838958170797
1,failure-light-waste-aware,0.6401999999999995,0.1456999999999998,1.000519999999999,0.6377137487073381,2.5652599999999994,1.6061379999999996,3.652289499999999,1.297623674686368
2,failure-heavy-no-waste,0.35,0.05,0.7,0.4696978962525548,4.44,2.92,6.15,1.6054068886771489
2,failure-heavy-waste-aware,0.6094000000000006,0.29359750000000023,0.9700025000000005,0.7704040444986576,2.79696,1.3365490000000002,4.445282499999999,0.9631333449414782
2,failure-light-no-waste,0.55,0.25,0.9,0.724490058419616,2.54,1.77,3.35,1.7213859531466444
2,failure-light-waste-aware,0.5769999999999997,0.27089999999999953,0.9402999999999995,0.7368933502009475,1.7501600000000004,0.9484810000000006,2.600502000000001,1.0639749404089904
